S.NO,NAME OF THE COMPANY / BRAND,TYPE,1000 ml,750 ml,375 ml,180 ml
1,GOLDEN GRAPE ORDINARY BRANDY,brandy,,400,200,100
2,MEN'S CLUB DELUXE BRANDY,brandy,,400,200,100
3,HONEY BEE MEDIUM BRANDY,brandy,,440,220,110
4,NO.1 MC DOWELL MEDIUM BRANDY,brandy,,440,220,110
5,MCDOWELL'S VSOP BRANDY,brandy,,520,260,130
6,VSOP EXSHAW GOLD BRANDY,brandy,,600,300,150
7,CAESAR PREMIUM BRANDY,brandy,,600,300,150
8,LOUIS VERNANT XO BLENDED PREMIUM BRANDY,brandy,,800,400,200
9,BINNIE'S DELUXE BRANDY,brandy,,400,200,100
10,CAPTON BRANDY,brandy,,400,200,100
11,JET BRANDY,brandy,,400,200,100
12,OFFICER'S CHOICE NO.1 CLASSIC BRANDY,brandy,,440,220,110
13,OLD ADMIRAL SELECT VSOP BRANDY,brandy,,440,220,110
14,DAY NIGHT BRANDY,brandy,,440,220,110
15,8 PM EXCELLENCY SUPREME BRANDY,brandy,,520,260,130
16,CLUB CLASS PREMIUM BRANDY,brandy,,520,260,130
17,McDOWELL'S ROYAL VSOP BRANDY,brandy,,520,260,130
18,SEA BREEZE BRANDY,brandy,,520,260,130
19,GOLDEN BELL ORIENTAL BRANDY,brandy,,560,280,140
20,JOIE DE FRANC VSOP DELUXE BRANDY,brandy,,600,300,150
21,ARISTOCRAT PREMIUM VSOP BRANDY,brandy,,600,300,150
22,KYRON PREMIUM BRANDY,brandy,,800,400,200
23,GOLDEN EAGLE DOCTOR ORDINARY BRANDY,brandy,,400,200,100
24,VORION NO.1 INDIAN BRANDY,brandy,,400,200,100
25,TRIPLE CROWN VSOP BRANDY,brandy,,440,220,110
26,BRIGADIER'S NO.1 BRANDY,brandy,,440,220,110
27,TI'S V.S.O.P. BRANDY,brandy,,520,260,130
28,OLD NAPOLEON VSOP DELUXE BRANDY,brandy,,520,260,130
29,"TI'S COURRIER NAPOLEON BLUE LABEL
FRENCH RESERVE BRANDY",brandy,,760,380,190
30,GEO'S CLOVIS XO FRENCH GRAPE BRANDY,brandy,,840,420,210
31,GRANDIS BLUE ULTRA PREMIUM BRANDY,brandy,,960,480,240
32,"GRAPPE RESERVA VERY SPECIAL
PREMIUM FRENCH GRAPE BRANDY",brandy,,1480,740,370
33,MONITOR ORDINARY BRANDY,brandy,,400,200,100
34,SHIVAS FINE ORDINARY BRANDY,brandy,,400,200,100
35,MONITOR DELUXE BRANDY,brandy,,400,200,100
36,CARDINAL GRAPE BRANDY,brandy,,440,220,110
37,CARDINAL NO.1 VSOP PREMIUM BRANDY,brandy,,560,280,140
38,HONIEY DAY BRANDY,brandy,,400,200,100
39,SHOT OLP BRANDY,brandy,,400,200,100
40,HONIEY DAY DELUXE BRANDY,brandy,,400,200,100
41,ACCORD NO.1 BRANDY,brandy,,440,220,110
42,MH VSOP BRANDY,brandy,,440,220,110
43,ACCORD'S PREMIUM FRENCH BRANDY,brandy,,520,260,130
44,WONDERLAND SPECIAL VSOP BRANDY,brandy,,520,260,130
45,TI'S MANSION HOUSE FINEST FRENCH BRANDY,brandy,,520,260,130
46,KING NAPOLEON XO BRANDY,brandy,,560,280,140
47,BLENDER'S MAGIC VSOP BRANDY,brandy,,600,300,150
48,ROYAL ACCORD PRE.GOLD FRENCH BRANDY,brandy,,600,300,150
49,COURRIER NAPOLEON FINEST FRENCH BRANDY,brandy,,600,300,150
50,HOLANDAS SPANISH VSOP BRANDY,brandy,,760,380,190
51,MISSIONARY MONKS AUTHENTIC PURE XO BRANDY,brandy,,800,400,200
52,AGE DE OAK VSOP PREMIUM BRANDY,brandy,,1040,520,260
53,BLACK PEARL BRANDY,brandy,,400,200,100
54,HAYWARDS PUNCH DELUXE BRANDY,brandy,,400,200,100
55,MAGNUS CHOICE VSOP BRANDY,brandy,,440,220,110
56,NO.1 MC DOWELL�S BRANDY,brandy,,440,220,110
57,COPPER BARREL VSOP BRANDY,brandy,,440,220,110
58,JOHN EX SHAW VSOP BRANDY,brandy,,520,260,130
59,RADIUM HOUSE FRENCH BRANDY,brandy,,520,260,130
